기업종목코드,종목명,end_date,year,quarter,rnd_expense
137310,에스디바이오센서,2023-03-31,2023,Q1,15094259000
137310,에스디바이오센서,2023-06-30,2023,Q2,16671875000
137310,에스디바이오센서,2023-09-30,2023,Q3,17213344000
137310,에스디바이오센서,2023-12-31,2023,Q4,15223215000
137310,에스디바이오센서,2024-03-31,2024,Q1,19819236000
137310,에스디바이오센서,2024-06-30,2024,Q2,23272141000
137310,에스디바이오센서,2024-09-30,2024,Q3,20285452000
137310,에스디바이오센서,2024-12-31,2024,Q4,24568708000
137310,에스디바이오센서,2025-03-31,2025,Q1,17766557000
137310,에스디바이오센서,2025-06-30,2025,Q2,18360253000
137310,에스디바이오센서,2025-09-30,2025,Q3,18725914000
185750,종근당,2023-03-31,2023,Q1,35828396368
185750,종근당,2023-06-30,2023,Q2,31580856586
185750,종근당,2023-09-30,2023,Q3,27061035056
185750,종근당,2023-12-31,2023,Q4,45764254274
185750,종근당,2024-03-31,2024,Q1,29664623380
185750,종근당,2024-06-30,2024,Q2,33138561403
185750,종근당,2024-09-30,2024,Q3,34126178856
185750,종근당,2024-12-31,2024,Q4,46984981074
185750,종근당,2025-03-31,2025,Q1,36685467873
185750,종근당,2025-06-30,2025,Q2,41063411724
185750,종근당,2025-09-30,2025,Q3,41007635973
003090,대웅,2023-03-31,2023,Q1,4373161326
003090,대웅,2023-06-30,2023,Q2,4850524577
003090,대웅,2023-09-30,2023,Q3,5204180221
003090,대웅,2023-12-31,2023,Q4,5591456212
003090,대웅,2024-03-31,2024,Q1,5688451590
003090,대웅,2024-06-30,2024,Q2,5354605100
003090,대웅,2024-09-30,2024,Q3,5448031933
003090,대웅,2024-12-31,2024,Q4,5348507210
003090,대웅,2025-03-31,2025,Q1,5462041720
003090,대웅,2025-06-30,2025,Q2,5818710068
003090,대웅,2025-09-30,2025,Q3,5997600984
069620,대웅제약,2023-03-31,2023,Q1,41991837561
069620,대웅제약,2023-06-30,2023,Q2,44204595527
069620,대웅제약,2023-09-30,2023,Q3,41341245624
069620,대웅제약,2023-12-31,2023,Q4,44035765126
069620,대웅제약,2024-03-31,2024,Q1,40725237842
069620,대웅제약,2024-06-30,2024,Q2,44202645867
069620,대웅제약,2024-09-30,2024,Q3,41468433471
069620,대웅제약,2024-12-31,2024,Q4,44893337488
069620,대웅제약,2025-03-31,2025,Q1,42240818718
069620,대웅제약,2025-06-30,2025,Q2,44893623043
069620,대웅제약,2025-09-30,2025,Q3,44149132933
005250,녹십자홀딩스,2023-03-31,2023,Q1,34825000000
005250,녹십자홀딩스,2023-06-30,2023,Q2,61441000000
005250,녹십자홀딩스,2023-09-30,2023,Q3,41121000000
005250,녹십자홀딩스,2023-12-31,2023,Q4,42083000000
005250,녹십자홀딩스,2024-03-31,2024,Q1,38344000000
005250,녹십자홀딩스,2024-06-30,2024,Q2,41364000000
005250,녹십자홀딩스,2024-09-30,2024,Q3,40011000000
005250,녹십자홀딩스,2024-12-31,2024,Q4,54925000000
005250,녹십자홀딩스,2025-03-31,2025,Q1,37633000000
005250,녹십자홀딩스,2025-06-30,2025,Q2,38768000000
005250,녹십자홀딩스,2025-09-30,2025,Q3,34788000000
006280,녹십자,2023-03-31,2023,Q1,48078000000
006280,녹십자,2023-06-30,2023,Q2,45820000000
006280,녹십자,2023-09-30,2023,Q3,39975000000
006280,녹십자,2023-12-31,2023,Q4,39614000000
006280,녹십자,2024-03-31,2024,Q1,36290000000
006280,녹십자,2024-06-30,2024,Q2,39326000000
006280,녹십자,2024-09-30,2024,Q3,38471000000
006280,녹십자,2024-12-31,2024,Q4,52111000000
006280,녹십자,2025-03-31,2025,Q1,36566000000
006280,녹십자,2025-06-30,2025,Q2,38089000000
006280,녹십자,2025-09-30,2025,Q3,33482000000
009420,한올바이오파마,2023-03-31,2023,Q1,5917826200
009420,한올바이오파마,2023-06-30,2023,Q2,7791025358
009420,한올바이오파마,2023-09-30,2023,Q3,4557091611
009420,한올바이오파마,2023-12-31,2023,Q4,5679007888
009420,한올바이오파마,2024-03-31,2024,Q1,5277057562
009420,한올바이오파마,2024-06-30,2024,Q2,6385259737
009420,한올바이오파마,2024-09-30,2024,Q3,5938680063
009420,한올바이오파마,2024-12-31,2024,Q4,2391615027
009420,한올바이오파마,2025-03-31,2025,Q1,5062559227
009420,한올바이오파마,2025-06-30,2025,Q2,5909372697
009420,한올바이오파마,2025-09-30,2025,Q3,4767483284
008930,한미사이언스,2023-03-31,2023,Q1,64000000
008930,한미사이언스,2023-06-30,2023,Q2,9000000
008930,한미사이언스,2023-09-30,2023,Q3,7000000
008930,한미사이언스,2023-12-31,2023,Q4,708000000
008930,한미사이언스,2024-03-31,2024,Q1,188000000
008930,한미사이언스,2024-06-30,2024,Q2,189000000
008930,한미사이언스,2024-09-30,2024,Q3,173000000
008930,한미사이언스,2024-12-31,2024,Q4,176000000
008930,한미사이언스,2025-03-31,2025,Q1,187000000
008930,한미사이언스,2025-06-30,2025,Q2,210000000
008930,한미사이언스,2025-09-30,2025,Q3,206000000
302440,SK바이오사이언스,2023-03-31,2023,Q1,16139693000
