company,date,score
BGF리테일,2026-02-12,0.4745986
BGF리테일,2026-02-11,0.9999671
BGF리테일,2026-02-10,0.3333198
BGF리테일,2026-02-09,1.3530254e-05
BGF리테일,2026-02-08,0.8619304
BGF리테일,2026-02-06,0.0026416779
BGF리테일,2026-02-05,4.953146e-05
BGF리테일,2026-02-03,0.32948136
BGF리테일,2026-02-02,0.00018757582
BGF리테일,2026-01-28,0.9979576
BGF리테일,2026-01-27,0.0011042953
BGF리테일,2026-01-22,0.9727877
BGF리테일,2026-01-20,0.99997073
BGF리테일,2026-01-19,7.95722e-05
BGF리테일,2026-01-16,-1.0579824e-05
BGF리테일,2026-01-14,0.33343792
BGF리테일,2026-01-13,1.513958e-05
BGF리테일,2026-01-12,-8.34465e-07
BGF리테일,2026-01-08,1.8656254e-05
BGF리테일,2026-01-07,0.9946716
BGF리테일,2026-01-06,0.9994703
BGF리테일,2026-01-05,0.05282259
BGF리테일,2026-01-04,0.037948847
BGF리테일,2026-01-01,0.00115484
BGF리테일,2025-12-29,0.18320805
BGF리테일,2025-12-28,0.3979988
BGF리테일,2025-12-25,-0.00063876313
BGF리테일,2025-12-23,0.49905244
BGF리테일,2025-12-22,-5.811453e-06
BGF리테일,2025-12-21,0.07962391
BGF리테일,2025-12-18,-1.4960766e-05
BGF리테일,2025-12-17,6.377697e-06
BGF리테일,2025-12-16,0.036737263
BGF리테일,2025-12-15,0.33378014
BGF리테일,2025-12-14,0.9994668
BGF리테일,2025-12-11,0.99224067
BGF리테일,2025-12-09,5.733967e-05
BGF리테일,2025-12-08,0.49974477
BGF리테일,2025-12-07,6.556511e-07
BGF리테일,2025-12-04,0.015756726
BGF리테일,2025-12-03,0.49220893
BGF리테일,2025-12-02,1.1563301e-05
BGF리테일,2025-12-01,0.9994613
BGF리테일,2025-11-30,-1.5894572e-07
BGF리테일,2025-11-25,0.0031066537
BGF리테일,2025-11-24,0.32671034
BGF리테일,2025-11-23,0.119239986
BGF리테일,2025-11-20,0.99690855
BGF리테일,2025-11-19,0.99996626
BGF리테일,2025-11-18,0.50001
BGF리테일,2025-11-17,0.9999687
BGF리테일,2025-11-16,0.00012771785
BGF리테일,2025-11-14,0.12487452
BGF리테일,2025-11-13,0.895566
BGF리테일,2025-11-12,0.33184326
BGF리테일,2025-11-11,1.013279e-05
BGF리테일,2025-11-10,0.5001148
BGF리테일,2025-11-09,0.9994654
BGF리테일,2025-11-06,0.6617853
BGF리테일,2025-11-05,3.552437e-05
BGF리테일,2025-11-04,0.03558277
BGF리테일,2025-11-03,5.940596e-06
BGF리테일,2025-11-02,0.9930073
BGF리테일,2025-10-31,0.9999653
BGF리테일,2025-10-30,0.98860407
BGF리테일,2025-10-29,0.7465034
BGF리테일,2025-10-28,0.5010461
BGF리테일,2025-10-27,0.5000392
BGF리테일,2025-10-24,-0.41999412
BGF리테일,2025-10-22,0.0731287
BGF리테일,2025-10-20,-0.33171946
BGF리테일,2025-10-19,-2.348423e-05
BGF리테일,2025-10-16,0.92443275
BGF리테일,2025-10-15,0.9999545
BGF리테일,2025-10-14,0.49975708
BGF리테일,2025-10-13,0.66647
BGF리테일,2025-10-12,1.513958e-05
BGF리테일,2025-10-08,-1.31726265e-05
BGF리테일,2025-10-06,9.596348e-06
BGF리테일,2025-10-05,-1.7762184e-05
BGF리테일,2025-10-04,0.00032424927
BGF리테일,2025-10-03,2.6762486e-05
BGF리테일,2025-10-01,1.0728836e-06
BGF리테일,2025-09-30,0.9994438
BGF리테일,2025-09-29,0.88264465
BGF리테일,2025-09-28,0.16319723
BGF리테일,2025-09-27,1.9967556e-05
BGF리테일,2025-09-26,0.00096693635
BGF리테일,2025-09-25,0.0006005764
BGF리테일,2025-09-24,0.41275242
BGF리테일,2025-09-23,0.9988823
BGF리테일,2025-09-17,1.859665e-05
BGF리테일,2025-09-16,0.0024004132
BGF리테일,2025-09-15,0.00010505319
BGF리테일,2025-09-14,0.3358356
BGF리테일,2025-09-13,0.000120043755
